DTXSID	split	cv_fold_C1e
DTXSID8024280	train	fold0
DTXSID8024284	train	fold2
DTXSID8024315	train	fold0
DTXSID8024523	test	
DTXSID8025595	test	
DTXSID8025886	train	fold3
DTXSID8026060	train	fold1
DTXSID8026303	train	fold3
DTXSID8026725	train	fold2
DTXSID8026727	test	
DTXSID8026773	test	
DTXSID8027036	test	
DTXSID8027246	test	
DTXSID8027292	test	
DTXSID8027323	train	fold1
DTXSID8027454	train	fold2
DTXSID8027581	train	fold4
DTXSID8027793	train	fold0
DTXSID8027795	train	fold1
DTXSID8029282	train	fold2
DTXSID8029650	train	fold0
DTXSID8029868	train	fold4
DTXSID8031863	test	
DTXSID8031865	test	
DTXSID8033562	train	fold0
DTXSID8033566	test	
DTXSID8034586	train	fold0
DTXSID8034665	train	fold3
DTXSID8035001	train	fold2
DTXSID8035180	train	fold4
DTXSID8037706	test	
DTXSID8037708	test	
DTXSID8037752	train	fold3
DTXSID8037754	test	
DTXSID8038801	train	fold4
DTXSID8038857	train	fold3
DTXSID8040270	train	fold1
DTXSID8040278	train	fold0
DTXSID8040721	train	fold2
DTXSID8040725	train	fold3
DTXSID8041242	train	fold3
DTXSID8041248	train	fold3
DTXSID8041379	train	fold3
DTXSID8041610	test	
DTXSID8042137	train	fold3
DTXSID8042260	train	fold0
DTXSID8042264	test	
DTXSID8042399	train	fold4
DTXSID8042478	train	fold1
DTXSID8042509	train	fold3
DTXSID8043941	test	
DTXSID8044200	train	fold2
DTXSID8044337	train	fold4
DTXSID8044381	train	fold1
DTXSID8044545	train	fold2
DTXSID8044549	test	
DTXSID8044593	train	fold4
DTXSID8044836	train	fold3
DTXSID8044913	train	fold2
DTXSID8044915	train	fold0
DTXSID8047183	train	fold2
DTXSID8047185	train	fold3
DTXSID8047187	train	fold2
DTXSID8047264	train	fold4
DTXSID8047268	train	fold3
DTXSID8047347	train	fold4
DTXSID8047349	train	fold4
DTXSID8047476	train	fold4
DTXSID8047505	train	fold1
DTXSID8047553	test	
DTXSID8047890	train	fold2
DTXSID9020112	train	fold1
DTXSID9020114	train	fold3
DTXSID9020160	train	fold4
DTXSID9020243	train	fold0
DTXSID9020247	train	fold2
DTXSID9020293	train	fold3
DTXSID9020295	train	fold2
DTXSID9020299	train	fold1
DTXSID9020372	train	fold0
DTXSID9020374	train	fold1
DTXSID9020407	train	fold3
DTXSID9020409	train	fold2
DTXSID9020451	train	fold2
DTXSID9020453	test	
DTXSID9020582	train	fold4
DTXSID9020617	train	fold1
DTXSID9020663	test	
DTXSID9020740	train	fold1
DTXSID9020790	train	fold2
DTXSID9020792	train	fold0
DTXSID9020827	train	fold0
DTXSID9020958	train	fold1
DTXSID9021138	train	fold2
DTXSID9021342	train	fold1
DTXSID9021344	train	fold2
DTXSID9021390	test	
DTXSID9021427	test	
DTXSID9021554	train	fold2
DTXSID9021639	test	
DTXSID9021764	test	
DTXSID9021928	test	
DTXSID9022100	train	fold2
DTXSID9022310	test	
DTXSID9022312	train	fold2
DTXSID9022360	train	fold2
DTXSID9022364	test	
DTXSID9022366	train	fold0
DTXSID9022445	train	fold1
DTXSID9022522	train	fold4
DTXSID9022526	train	fold3
DTXSID9022528	train	fold3
DTXSID9022607	train	fold0
DTXSID9023380	test	
DTXSID9023889	train	fold1
DTXSID9024063	train	fold0
DTXSID9024431	test	
DTXSID9024691	train	fold3
DTXSID9024772	train	fold1
DTXSID9024930	train	fold1
DTXSID9024986	train	fold1
DTXSID9025035	test	
DTXSID9025110	train	fold2
DTXSID9025164	train	fold2
DTXSID9025401	test	
DTXSID9025453	train	fold2
DTXSID9026261	train	fold3
DTXSID9026265	train	fold2
DTXSID9026500	train	fold2
DTXSID9026974	train	fold2
DTXSID9027314	test	
DTXSID9027522	train	fold2
DTXSID9027863	train	fold4
DTXSID9029146	test	
DTXSID9029649	train	fold1
DTXSID9032327	train	fold3
DTXSID9032329	train	fold1
DTXSID9032531	train	fold0
DTXSID9032533	train	fold1
DTXSID9032537	test	
DTXSID9032589	test	
DTXSID9033058	train	fold0
DTXSID9033187	train	fold4
DTXSID9033923	train	fold0
DTXSID9034232	train	fold1
DTXSID9034492	train	fold1
DTXSID9034573	train	fold3
DTXSID9034816	train	fold3
DTXSID9034818	train	fold0
DTXSID9034997	test	
DTXSID9035204	train	fold2
DTXSID9036515	test	
DTXSID9037539	test	
DTXSID9037749	train	fold3
DTXSID9040001	train	fold4
DTXSID9040265	train	fold1
DTXSID9040269	train	fold1
DTXSID9040683	test	
DTXSID9040712	test	
DTXSID9040716	train	fold2
DTXSID9040760	train	fold0
DTXSID9041289	test	
DTXSID9041524	train	fold1
DTXSID9042124	test	
DTXSID9042203	train	fold1
DTXSID9042209	test	
DTXSID9044164	train	fold2
DTXSID9044322	test	
DTXSID9044613	test	
DTXSID9044615	test	
DTXSID9044796	test	
DTXSID9044821	train	fold3
DTXSID9044825	train	fold2
DTXSID9044950	train	fold1
DTXSID9046992	train	fold4
DTXSID9047253	train	fold4
DTXSID9047257	train	fold4
DTXSID9047330	train	fold1
DTXSID9047334	train	fold4
DTXSID9047338	train	fold1
DTXSID9047540	train	fold3
DTXSID9047542	train	fold0
DTXSID9047592	train	fold2
DTXSID9047594	train	fold2
DTXSID9047598	train	fold1
DTXSID9047629	train	fold2
DTXSID9047679	train	fold2
DTXSID9048194	train	fold3
DTXSID9048196	train	fold2
